time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.22708109189e-08,2.80186020982e-07,0.80531710749,0.000245374620619,6.28278664648,0.0,1.58467415075e-05,2.44482978943e-05,0.177225271389,0.0112201010104,-0.0252437607531,0.0,461.6233857057075,459.6275209318012,460.43385463923283,461.32044187401704
0.12000000000000001,1.31012997156e-05,8.66316772147e-06,0.816222417095,0.00121995778201,6.28127824551,0.0,0.000555435844818,0.000329285885124,0.186283355177,0.0247605981462,-0.0249333582489,0.0,406.4946827897121,406.5223221032986,407.0133212084668,408.2230994805813
0.18,9.2513943662e-05,6.02258671324e-05,0.83080075858,0.00299969673876,6.27959850497,0.0,0.00225585183669,0.00156073702952,0.299637023898,0.0380029365205,-0.0349564196893,0.0,441.0628116924928,440.23415404078133,441.1401933485947,442.23239881805324
0.23999999999999996,0.000314218637068,0.000228483890117,0.852952189298,0.00511421861965,6.27786292108,0.0,0.00533842859937,0.00428529279679,0.438698473209,0.0290541973456,-0.0189920259781,0.0,449.04753728264154,450.34021442004513,449.15090839991984,448.42520678293664
0.3,0.000752943116424,0.000602761176097,0.883014885905,0.00746432918358,6.27671224225,0.0,0.00940640548371,0.00841210780816,0.563335645236,0.0541463124073,-0.0195524777724,0.0,444.47547459710773,444.42959238478215,444.2748143099186,446.32780019121975
0.36000000000000004,0.00146726196883,0.0012893846316,0.921708609237,0.0107094223928,6.27619464059,0.0,0.0144910825748,0.0148361134551,0.726361513535,0.0539617999727,0.0072419947323,0.0,455.0513526232804,457.19096663032076,457.5367141076356,457.5238778199472
0.4200000000000001,0.00249180006134,0.00243571187664,0.970192157536,0.0146444298337,6.27722009768,0.0,0.0195724983368,0.0237803220956,0.88963918475,0.0821816007396,0.0317732886949,0.0,456.45751245886544,458.4106791028453,455.6747498556886,457.92764046397826
0.48000000000000015,0.00376554214072,0.00413824269435,1.02363851867,0.0193676909752,6.27924630579,0.0,0.0227131467108,0.0333941613369,0.891898280106,0.0707073934479,0.0374906152749,0.0,405.55241703582954,406.06613734080963,405.815360769976,404.7897995899277
0.5400000000000001,0.00519793542414,0.00654035937127,1.07925433546,0.0238203042363,6.28111322668,0.0,0.0248275837139,0.0471001241146,0.961897165792,0.0804252190768,0.0136186551208,0.0,428.5870373321652,426.55387877970634,428.3036117176123,429.133692874976
0.6000000000000002,0.00672482199528,0.00984636732734,1.13872490827,0.0287824580472,6.28199311166,0.0,0.0259870813878,0.0635682250536,1.02039227125,0.0869046038823,0.0166788166199,0.0,423.86411583681837,424.1268972756436,424.82110741766513,425.3821464670366
0.6600000000000003,0.00830823353225,0.0143985577868,1.20707218965,0.0344973719125,0.000318391025164,0.0,0.0266346537794,0.0888373643431,1.25759848404,0.108160781421,0.0382811815282,0.0,478.406909539817,480.04879334185597,479.21084504318156,480.8304967427632
0.7200000000000003,0.00989086920243,0.0204702331341,1.28563288899,0.0405992195165,0.00256346222641,0.0,0.0258869522027,0.11419762251,1.36094841487,0.0838645664215,0.0356331922074,0.0,439.146199878,438.92719823483577,441.3559742694583,439.3551527237697
0.7800000000000004,0.0113717830722,0.0283365188369,1.37403722168,0.0459639681874,0.00468586659308,0.0,0.0232208963904,0.14862776918,1.58554882287,0.0986738246414,0.0348488213142,0.0,476.6507247640238,476.5912361934791,476.4353162522195,477.572119683843
0.8400000000000004,0.0126435866825,0.0383753969798,1.47532050367,0.0514035475381,0.00715854976286,0.0,0.0189029667266,0.186664757868,1.79022542731,0.0654454462795,0.0515962648491,0.0,472.28553896878003,473.5761351182652,471.61535197472153,469.04804829510215
0.9000000000000005,0.0136392579623,0.0505037890712,1.58287938401,0.0549897274261,0.00967935027261,0.0,0.0140222211522,0.217946659446,1.79504022013,0.0449097814156,0.0038856407257,0.0,411.58077103631916,407.33742052134266,409.7464287815905,407.9195825378724
0.9600000000000005,0.0142978517234,0.064620964594,1.69166611761,0.0575953545463,0.0101254034706,0.0,0.00789933965372,0.252866418106,1.83110922897,0.0402844292386,0.0137247999404,0.0,419.15993877118257,420.01398073462684,420.05106004351,419.65095460713866
1.0200000000000005,0.0145777858749,0.0808873349058,1.80272586883,0.0598558677772,0.0107299179401,0.0,0.00136483152227,0.289558255816,1.87080054888,0.0318678559104,0.00153856372918,0.0,421.58744687986194,420.5331489407995,421.4792132889429,420.751972877142
1.0800000000000005,0.0144442148266,0.0994587634711,1.91720703822,0.0619794291056,0.0117309741035,0.0,-0.00587965931108,0.329678097432,1.94509694452,0.0416443991603,0.0366825416484,0.0,430.35100704205547,433.3153515152889,432.89090835484683,433.7133266166237
1.1400000000000006,0.013811208568,0.120676347353,2.03926702039,0.0641126480191,0.01342266191,0.0,-0.0154507960106,0.377819386442,2.12322827094,0.0191638024994,2.28627615796e-05,0.0,467.1600165466786,464.29301695766895,465.4271782154898,463.6649639096334
1.2000000000000006,0.0125472291895,0.144956502561,2.17405299945,0.0650583939432,0.013381078384,0.0,-0.0266728411964,0.431615027724,2.36914357933,0.00790333030286,-0.00216492389713,0.0,486.7598890520103,486.5961626923869,485.1828497130883,484.33662702123627
1.2600000000000007,0.0106655586807,0.172221795652,2.31955363876,0.0662500820443,0.0133166252687,0.0,-0.0360362287128,0.477301598111,2.48062836401,0.036812177209,0.00102269454076,0.0,446.4580861970372,446.718106061214,445.22414652226223,447.5830478202143
